Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Zé Food - Món Hàn Quốc,,,Đà Nẵng,122 Yên Bái;Quận Hải Châu,,,,500,,0944 496 207,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000002,Hải Sản Năm Đảnh,,,Đà Nẵng,K139/H59/38 Trần Quang Khải; P. Thọ Quang;Quận Sơn Trà,,,,500,,(0511) 3 922 087 - 01262 654 677,,,10:00 - 22:00,,,,,,,,,,,
Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Zé Food - Món Hàn Quốc,,,Đà Nẵng,122 Yên Bái;Quận Hải Châu,,,,500,,0944 496 207,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000002,Hải Sản Năm Đảnh,,,Đà Nẵng,K139/H59/38 Trần Quang Khải; P. Thọ Quang;Quận Sơn Trà,,,,500,,(0511) 3 922 087 - 01262 654 677,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000003,Zone7 - Fastfood & Phòng Mini Cinema,,,Đà Nẵng,27 Đào Tấn;Quận Hải Châu,,,,500,,0902 290 684,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000004,Tokbokki - Phan Chu Trinh,,,Đà Nẵng,336A Phan Chu Trinh;Quận Hải Châu,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000005,Bớp Bư Bự - Ẩm Thực Hàn Quốc - Nguyễn Trãi,,,Đà Nẵng,39 Nguyễn Trãi;Quận Hải Châu,,,,500,,0903 526 590,,,14:00 - 22:00,,,,,,,,,,,
@VNLAB,@000006,Maru Food & Drinks - Món Ăn Hàn Quốc,,,Đà Nẵng,K18/10 Trần Bình Trọng;Quận Hải Châu,,,,500,,0905 12 60 90,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000007,Bánh Xèo Bà Dưỡng,,,Đà Nẵng,K280/23 Hoàng Diệu;Quận Hải Châu,,,,500,,(0511) 3 873 168 - (0236) 3 873 168,,,10:00 - 21:00,,,,,,,,,,,
@VNLAB,@000008,Ăn Vặt Tre Xanh,,,Đà Nẵng,Kiệt 473 Nguyễn Tất Thành;Quận Hải Châu,,,,500,,0935 747 048,,,15:30 - 22:30,,,,,,,,,,,
@VNLAB,@000009,Quán Ăn Dimsum - Ngô Gia Tự,,,Đà Nẵng,45A Ngô Gia Tự;Quận Hải Châu,,,,500,,,,,Sáng: 06:00 - 14:00 | Tối: 17:00 - 21:00,,,,,,,,,,,
@VNLAB,@000010,Lẩu Ly Cali,,,Đà Nẵng,185 Lê Thanh Nghị;Quận Hải Châu,,,,500,,0905 548 321 - 0924 626 200,,,17:30 - 22:30,,,,,,,,,,,
@VNLAB,@000011,SaSin - Mì Cay 7 Cấp Độ Hàn Quốc,,,Đà Nẵng,315 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000012,Bún Đậu Mắm Tôm Cô Thường - Hải Phòng,,,Đà Nẵng,K136/25 Hải Phòng;Quận Hải Châu,,,,500,,,,,10:30 - 13:30 | 15:00 - 21:00,,,,,,,,,,,
@VNLAB,@000013,Aloha - Ẩm Thực Hàn Quốc,,,Đà Nẵng,338/10 Phan Chu Trinh; P. Bình Thuận;Quận Hải Châu,,,,500,,0905 550 435,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000014,Hải Sản Bé Mặn A,,,Đà Nẵng,Lô 11 Võ Nguyên Giáp;Quận Sơn Trà,,,,500,,0905 207 848 - 0905 181 529,,,09:00 - 23:00,,,,,,,,,,,
@VNLAB,@000015,Pizza Base,,,Đà Nẵng,143 Nguyễn Văn Thoại;Quận Ngũ Hành Sơn,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000016,Cuội Quán - Bún Đậu Mắm Tôm,,,Đà Nẵng,166 Lý Tự Trọng;Quận Hải Châu,,,,500,,0935 400 005 - 0903 305 357,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000017,Thai Market - Trần Quốc Toản,,,Đà Nẵng,4 Trần Quốc Toản; P. Phước Ninh;Quận Hải Châu,,,,500,,(0511) 3 636 468 - 0903 507 468 - (0236) 3 636 468,,,09:00 - 23:00,,,,,,,,,,,
@VNLAB,@000018,Nhóp Nhép - Lẩu Và Nướng,,,Đà Nẵng,343 Phan Chu Trinh;Quận Hải Châu,,,,500,,0903 252 425,,,16:00 - 23:00,,,,,,,,,,,
